total variable:0
total variable:0
total variable:1 16214120
total variable:2 16089008
total variable:3 16089115
total variable:4 16166211
total variable:5 7012777
total variable:6 16159905
total variable:7 16160739
total variable:8 16160939
total variable:9 7005121
total variable:10 16231975
total variable:11 16232146
total variable:12 16162423
total variable:13 16162596
total variable:14 10231854
total variable:15 16155115
total variable:16 16155384
total variable:17 12271216
total variable:18 7009850
total variable:19 1246134
total variable:20 16165295
total variable:21 16165515
total variable:22 16281848
total variable:23 1301372
total variable:24 1301733
total variable:25 1248757
total variable:26 1272918
total variable:27 1280037
total variable:28 1280270
total variable:29 1285951
total variable:30 1296836
total variable:31 1297396
total variable:32 1278719
total variable:33 16099027
total variable:34 16112068
total variable:35 16237151
total variable:36 16237495
total variable:37 16199149
total variable:38 16199301
total variable:39 16199492
total variable:40 16205044
total variable:41 12735820
total variable:42 12735957
total variable:43 12665228
total variable:44 12665425
total variable:45 12665806
total variable:46 12665923
total variable:47 12717546
total variable:48 16211477
total variable:49 16211623
total variable:50 16220130
total variable:51 16220589
total variable:52 12717930
total variable:53 16230573
total variable:54 16230766
total variable:55 16231874
total variable:56 16090555
total variable:57 16090671
total variable:58 16090791
total variable:59 12718854
total variable:60 12718969
total variable:61 12720320
total variable:62 12719785
total variable:63 12734729
total variable:64 12734845
total variable:65 12668835
total variable:66 12734977
total variable:67 12669886
total variable:68 15543448
total variable:69 15543924
total variable:70 15544058
total variable:71 15544220
total variable:72 12710157
total variable:73 12752360
total variable:74 12686695
total variable:75 16200404
total variable:76 10563649
total variable:77 10563127
total variable:78 10541889
total variable:79 10542889
total variable:80 10536599
total variable:81 10593946
total variable:82 10484205
total variable:83 16236366
total variable:84 16236623
total variable:85 16236815
total variable:86 16238240
total variable:87 16117667
total variable:88 16099869
total variable:89 1249374
total variable:90 1261271
total variable:91 1249877
total variable:92 1250359
total variable:93 1250985
total variable:94 12673935
total variable:95 12674079
total variable:96 12674282
total variable:97 12752922
total variable:98 12674509
total variable:99 12690435
total variable:100 12690643
total variable:101 12689944
total variable:102 16210279
total variable:103 12693334
total variable:104 12693556
total variable:105 12693874
total variable:106 12695591
total variable:107 12692187
total variable:108 12689035
total variable:109 12721173
total variable:110 12721353
total variable:111 12689349
total variable:112 12691271
total variable:113 12722619
total variable:114 12703481
total variable:115 12702674
total variable:116 12698639
total variable:117 12698802
total variable:118 12699270
total variable:119 12699669
total variable:120 12700138
total variable:121 12700449
total variable:122 12700764
total variable:123 12701106
total variable:124 12732496
total variable:125 12733246
total variable:126 12732261
total variable:127 12732803
total variable:128 12732964
total variable:129 12733478
total variable:130 16208391
total variable:131 16208507
total variable:132 16208690
total variable:133 16208807
total variable:134 12785779
total variable:135 12785940
total variable:136 12682384
total variable:137 12682509
total variable:138 12682853
total variable:139 12682989
total variable:140 12683145
total variable:141 12683278
