total variable:0
total variable:0
total variable:1 10247787
total variable:2 10247939
total variable:3 7603739
total variable:4 7605519
total variable:5 2283128
total variable:6 10824255
total variable:7 9292556
total variable:8 10823521
total variable:9 9800701
total variable:10 7609332
total variable:11 10831264
total variable:12 2241673
total variable:13 2236080
total variable:14 2237245
total variable:15 2237719
total variable:16 11712044
total variable:17 11736749
total variable:18 11737955
total variable:19 7753061
total variable:20 7753303
total variable:21 7750805
total variable:22 7712345
total variable:23 7709541
total variable:24 5535629
total variable:25 7710337
total variable:26 7754484
total variable:27 7748342
total variable:28 7769957
total variable:29 7734729
total variable:30 4052893
total variable:31 7735745
total variable:32 10050021
total variable:33 10050461
total variable:34 10058001
total variable:35 14934035
total variable:36 14934798
total variable:37 15884017
total variable:38 9207451
total variable:39 9358082
total variable:40 9226484
total variable:41 12308783
total variable:42 2324329
total variable:43 7780589
total variable:44 9238267
total variable:45 11118563
total variable:46 2302613
total variable:47 9308368
total variable:48 9344691
total variable:49 2818103
total variable:50 2792615
total variable:51 9802381
total variable:52 9240162
total variable:53 2800378
total variable:54 2823322
total variable:55 2823568
total variable:56 2800814
total variable:57 2800948
total variable:58 2816394
total variable:59 2816526
total variable:60 2802393
total variable:61 2802650
total variable:62 2802997
total variable:63 2803334
total variable:64 2803604
total variable:65 2804135
total variable:66 2817373
total variable:67 2256412
total variable:68 13622370
total variable:69 2805836
total variable:70 2806367
total variable:71 2807012
total variable:72 2808314
total variable:73 2808735
total variable:74 2809213
total variable:75 9289580
total variable:76 2787026
total variable:77 2787574
total variable:78 2809897
total variable:79 2810325
total variable:80 2812372
total variable:81 2812947
total variable:82 8844683
total variable:83 4655849
total variable:84 5525894
total variable:85 5526112
total variable:86 14948907
total variable:87 14949366
total variable:88 7706921
total variable:89 7707450
total variable:90 7707673
total variable:91 7707903
total variable:92 5549437
total variable:93 5539871
total variable:94 7445026
total variable:95 7445877
total variable:96 7446191
total variable:97 7446496
total variable:98 7446771
total variable:99 7452204
total variable:100 2270599
total variable:101 2270931
total variable:102 4056270
total variable:103 4056836
total variable:104 4055287
total variable:105 7459768
total variable:106 9619001
total variable:107 7449739
total variable:108 7454977
total variable:109 9252738
total variable:110 9257380
total variable:111 9259539
total variable:112 2308277
total variable:113 9292126
total variable:114 5542060
total variable:115 11089065
total variable:116 9609209
total variable:117 9609353
ttotal variable:130
total variable:130
otal variable:118 11092806
total variable:119 11093665
total variable:120 11109443
total variable:121 11094093
total variable:122 11742907
total variable:123 11086638
total variable:124 11087112
total variable:125 14570974
total variable:126 14959651
total variable:127 10244272
total variable:128 7776354
total variable:129 5551303
total variable:130 5538797
total variable:1 10247787
total variable:2 10247939
total variable:3 7603739
total variable:4 7605519
total variable:5 2283128
total variable:6 10824255
total variable:7 9292556
total variable:8 10823521
total variable:9 9800701
total variable:10 7609332
total variable:11 10831264
total variable:12 2241673
total variable:13 2236080
total variable:14 2237245
total variable:15 2237719
total variable:16 11712044
total variable:17 11736749
total variable:18 11737955
total variable:19 7753061
total variable:20 7753303
total variable:21 7750805
total variable:22 7712345
total variable:23 7709541
total variable:24 5535629
total variable:25 7710337
total variable:26 7754484
total variable:27 7748342
total variable:28 7769957
total variable:29 7734729
total variable:30 4052893
total variable:31 7735745
total variable:32 10050021
total variable:33 10050461
total variable:34 10058001
total variable:35 14934035
total variable:36 14934798
total variable:37 15884017
total variable:38 9207451
total variable:39 9358082
total variable:40 9226484
total variable:41 12308783
total variable:42 2324329
total variable:43 7780589
total variable:44 9238267
total variable:45 11118563
total variable:46 2302613
total variable:47 9308368
total variable:48 9344691
total variable:49 2818103
total variable:50 2792615
total variable:51 9802381
total variable:52 9240162
total variable:53 2800378
total variable:54 2823322
total variable:55 2823568
total variable:56 2800814
total variable:57 2800948
total variable:58 2816394
total variable:59 2816526
total variable:60 2802393
total variable:61 2802650
total variable:62 2802997
total variable:63 2803334
total variable:64 2803604
total variable:65 2804135
total variable:66 2817373
total variable:67 2256412
total variable:68 13622370
total variable:69 2805836
total variable:70 2806367
total variable:71 2807012
total variable:72 2808314
total variable:73 2808735
total variable:74 2809213
total variable:75 9289580
total variable:76 2787026
total variable:77 2787574
total variable:78 2809897
total variable:79 2810325
total variable:80 2812372
total variable:81 2812947
total variable:82 8844683
total variable:83 4655849
total variable:84 5525894
total variable:85 5526112
total variable:86 14948907
total variable:87 14949366
total variable:88 7706921
total variable:89 7707450
total variable:90 7707673
total variable:91 7707903
total variable:92 5549437
total variable:93 5539871
total variable:94 7445026
total variable:95 7445877
total variable:96 7446191
total variable:97 7446496
total variable:98 7446771
total variable:99 7452204
total variable:100 2270599
total variable:101 2270931
total variable:102 4056270
total variable:103 4056836
total variable:104 4055287
total variable:105 7459768
total variable:106 9619001
total variable:107 7449739
total variable:108 7454977
total variable:109 9252738
total variable:110 9257380
total variable:111 9259539
total variable:112 2308277
total variable:113 9292126
total variable:114 5542060
total variable:115 11089065
total variable:116 9609209
total variable:117 9609353
ttotal variable:130
total variable:130
otal variable:118 11092806
total variable:119 11093665
total variable:120 11109443
total variable:121 11094093
total variable:122 11742907
total variable:123 11086638
total variable:124 11087112
total variable:125 14570974
total variable:126 14959651
total variable:127 10244272
total variable:128 7776354
total variable:129 5551303
total variable:130 5538797
