total variable:0
total variable:0
total variable:1 4139915
total variable:2 1848622
total variable:3 1849729
total variable:4 1849876
total variable:5 15399685
total variable:6 1845255
total variable:7 8472416
total variable:8 8473891
total variable:9 5423167
total variable:10 15269763
total variable:11 9152244
total variable:12 8229989
total variable:13 5501668
total variable:14 9153130
total variable:15 2488420
total variable:16 1162806
total variable:17 1182676
total variable:18 1170008
total variable:19 1176114
total variable:20 1139531
total variable:21 1146745
total variable:22 15468540
total variable:23 15064463
total variable:24 1013147
total variable:25 1013374
total variable:26 1013522
total variable:27 1013655
total variable:28 1014402
total variable:29 8244212
total variable:30 6457881
total variable:31 6458020
total variable:32 6459703
total variable:33 6459817
total variable:34 6459970
total variable:35 6460176
total variable:36 6482808
total variable:37 6483582
total variable:38 6484083
total variable:39 6484207
total variable:40 6484787
total variable:41 6484873
total variable:42 6485036
total variable:43 8244465
total variable:44 6499300
total variable:45 6499496
total variable:46 15063401
total variable:47 15063908
total variable:48 15396051
total variable:49 15323097
total variable:50 4144631
total variable:51 4144776
total variable:52 4144925
total variable:53 4145047
total variable:54 4145265
total variable:55 4149349
total variable:56 4145461
total variable:57 4150741
total variable:58 4150857
total variable:59 4150962
total variable:60 4148754
total variable:61 4150383
total variable:62 4146237
total variable:63 4146425
total variable:64 15396333
total variable:65 15263669
total variable:66 15396499
total variable:67 5425124
total variable:68 15397179
total variable:69 9116005
total variable:70 9116320
total variable:71 12913371
total variable:72 12883789
total variable:73 12934291
total variable:74 12899772
total variable:75 12882723
total variable:76 15397318
total variable:77 15397454
total variable:78 15397589
total variable:79 15394543
total variable:80 15397758
total variable:81 15398541
total variable:82 15362726
total variable:83 15362998
total variable:84 15363117
total variable:85 15363254
total variable:86 15369609
total variable:87 15369712
total variable:88 15363423
total variable:89 15373835
total variable:90 15510922
total variable:91 15515145
total variable:92 15069880
total variable:93 15070115
total variable:94 15374075
total variable:95 15470578
total variable:96 15381646
total variable:97 9135366
total variable:98 9136192
total variable:99 9136472
total variable:100 9136578
total variable:101 9712769
total variable:102 9713173
total variable:103 9713449
total variable:104 9719070
total variable:105 9719389
total variable:106 15065190
total variable:107 15065336
total variable:108 15065634
total variable:109 15065800
total variable:110 9137490
total variable:111 9138873
total variable:112 9139307
total variable:113 15381958
total variable:114 15363639
total variable:115 15067993
total variable:116 15068145
total variable:117 15363821
total variable:118 15360452
total variable:119 15225426
total variable:120 15225593
total variable:121 15225728
total variable:122 15226007
total variable:123 9147271
total variable:124 9147400
total variable:125 9148146
total variable:126 9148273
total variable:127 15361070
total variable:128 15361280
total variable:129 15361433
total variable:130 15361548
total variable:131 15242690
total variable:132 15242846
total variable:133 15243223
total variable:134 15243647
total variable:135 15243864
total variable:136 15244087
total variable:137 15244234
total variable:138 15244394
total variable:139 15244511
total variable:140 15244780
total variable:141 9150260
total variable:142 9150589
total variable:143 9150750
total variable:144 9150917
total variable:145 9151091
total variable:146 15245024
total variable:147 9145251
total variable:148 9145404
total variable:149 9718206
total variable:150 9718712
total variable:151 9695186
total variable:152 9695481
total variable:153 9137348
total variable:154 15226475
total variable:155 15227222
total variable:156 15368670
total variable:157 15369137
total variable:158 15386035
total variable:159 15386397
total variable:160 5429320
total variable:161 15387397
total variable:162 9143824
total variable:163 9144027
total variable:164 15067350
total variable:165 15067533
total variable:166 15383279
total variable:167 15383415
total variable:168 15387528
total variable:169 15068714
total variable:170 15068886
total variable:171 15369291
total variable:172 4145582
total variable:173 4145720
total variable:174 4145862
total variable:175 15364244
total variable:176 15364372
total variable:177 15367746
total variable:178 15367850
total variable:179 15367987
total variable:180 15243443
total variable:181 6470198
total variable:182 994344
total variable:183 6463322
total variable:184 6463903
total variable:185 6464111
total variable:186 6464308
total variable:187 6464465
total variable:188 6464722
total variable:189 6465241
total variable:190 994471
total variable:191 6470456
total variable:192 6470821
total variable:193 6475775
total variable:194 6476338
total variable:195 15082050
total variable:196 15082221
total variable:197 993604
total variable:198 8247734
total variable:199 8247849
total variable:200 6476734
total variable:201 6477294
total variable:202 6465745
total variable:203 6466508
total variable:204 6466820
total variable:205 6467281
total variable:206 6467422
total variable:207 6465970
total variable:208 8248258
total variable:209 8248525
total variable:210 6471481
total variable:211 6472165
total variable:212 6472269
total variable:213 6472403
total variable:214 6472777
total variable:215 6472859
total variable:216 8249335
total variable:217 995404
total variable:218 995690
total variable:219 15073695
total variable:220 9116861
total variable:221 9117163
total variable:222 9117348
total variable:223 9117496
total variable:224 15398939
total variable:225 15399081
total variable:226 15399194
total variable:227 15399354
total variable:228 15483054
totaltotal variable:253
total variable:253
 variable:229 15483418
total variable:230 15064706
total variable:231 6460957
total variable:232 6461104
total variable:233 4142978
total variable:234 9634015
total variable:235 9634417
total variable:236 9634661
total variable:237 9634888
total variable:238 9635341
total variable:239 9635993
total variable:240 9636410
total variable:241 9636636
total variable:242 9636897
total variable:243 9637296
total variable:244 9637521
total variable:245 9637777
total variable:246 9638085
total variable:247 9638472
total variable:248 9638694
total variable:249 9639061
total variable:250 9639392
total variable:251 9639612
total variable:252 4143335
total variable:253 4143467
