total variable:3
total variable:3
total variable:1 1125797
total variable:2 1130222
total variable:3 13531584
total variable:1 1125797
total variable:2 1130222
total variable:3 13531584
total variable:4 7851226
total variable:5 15562209
total variable:6 7835592
total variable:7 1799825
total variable:8 3916673
total variable:9 7839048
total variable:10 14645383
total variable:11 7839622
total variable:12 7840107
total variable:13 7855788
total variable:14 3062761
total variable:15 7964651
total variable:16 3063103
total variable:17 14682919
total variable:18 15554906
total variable:19 7816980
total variable:20 15577940
total variable:21 7958671
total variable:22 7968049
total variable:23 3058104
total variable:24 10146488
total variable:25 7854862
total variable:26 10147229
total variable:27 7855417
total variable:28 7840637
total variable:29 7840748
total variable:30 7856920
total variable:31 7842243
total variable:32 7842443
total variable:33 7816638
total variable:34 7844497
total variable:35 7897907
total variable:36 7906448
total variable:37 7845564
total variable:38 8315881
total variable:39 8316372
total variable:40 8316489
total variable:41 5500006
total variable:42 5500710
total variable:43 3471271
total variable:44 3471427
total variable:45 3464629
total variable:46 3497731
total variable:47 3458133
total variable:48 3472609
total variable:49 3465860
total variable:50 3462761
total variable:51 3462182
total variable:52 3462873
total variable:53 3464432
total variable:54 3473085
total variable:55 3473196
total variable:56 3483599
total variable:57 3484313
total variable:58 3484395
total variable:59 3484500
total variable:60 3484618
total variable:61 3484724
total variable:62 3473390
total variable:63 3474835
total variable:64 3487712
total variable:65 3475090
total variable:66 3490394
total variable:67 3589764
total variable:68 3617570
total variable:69 3617707
total variable:70 3617829
total variable:71 3491999
total variable:72 8833967
total variable:73 8834396
total variable:74 8834706
total variable:75 8836384
total variable:76 3618948
total variable:77 3619055
total variable:78 3635788
total variable:79 3619440
total variable:80 3619538
total variable:81 3492229
total variable:82 3492530
total variable:83 8835931
total variable:84 8836052
total variable:85 8836183
total variable:86 8836633
total variable:87 8836727
total variable:88 3475569
total variable:89 3659838
total variable:90 3476635
total variable:91 3631891
total variable:92 3495196
total variable:93 3495336
total variable:94 3619710
total variable:95 3619817
total variable:96 3619927
total variable:97 3623121
total variable:98 3623258
total variable:99 3620323
total variable:100 3620449
total variable:101 8836928
total variable:102 8837031
total variable:103 8837188
total variable:104 3496287
total variable:105 3497337
total variable:106 3498180
total variable:107 3498944
total variable:108 3625277
total variable:109 3625371
total variable:110 3625667
total variable:111 3479099
total variable:112 3499287
total variable:113 3499445
total variable:114 3499638
total variable:115 3614967
total variable:116 3615630
total variable:117 3615751
total variable:118 3615918
total variable:119 3616012
total variable:120 3491119
total variable:121 3491248
total variable:122 8838789
total variable:123 8838874
total variable:124 3479933
total variable:125 3515715
total variable:126 3574143
total variable:127 3572688
total variable:128 3572873
total variable:129 3574322
total variable:130 3516927
total variable:131 3583805
total variable:132 3587012
total variable:133 3587394
total variable:134 3592349
total variable:135 3594886
total variable:136 3539514
total variable:137 3539850
total variable:138 3609429
total variable:139 3552994
total variable:140 3609874
total variable:141 3610041
total variable:142 3553747
total variable:143 3611509
total variable:144 3555350
total variable:145 3612603
total variable:146 3612972
total variable:147 3613558
total variable:148 3540025
total variable:149 3546476
total variable:150 3542573
total variable:151 3605788
total variable:152 3605992
total variable:153 3549493
total variable:154 3612096
total variable:155 3612262
total variable:156 3613839
total variable:157 3628379
total variable:158 3668777
total variable:159 3669200
total variable:160 3632599
total variable:161 3610694
total variable:162 3611301
total variable:163 3669872
total variable:164 3670108
total variable:165 3670223
total variable:166 3670933
total variable:167 3584438
total variable:168 3522632
total variable:169 3524319
total variable:170 3603250
total variable:171 3624374
total variable:172 3481340
total variable:173 3472940
total variable:174 3481634
total variable:175 3472353
total variable:176 3482404
total variable:177 3482498
total variable:178 3482665
total variable:179 3482757
total variable:180 3482874
total variable:181 3467743
total variable:182 7847300
total variable:183 7925209
total variable:184 7928165
total variable:185 7928274
total variable:186 7848666
total variable:187 7849039
total variable:188 7849188
total variable:189 7849351
total variable:190 7938320
total variable:191 7946260
total variable:192 7946383
total variable:193 7946484
total vartotal variable:222
total variable:222
iable:194 7946592
total variable:195 7849728
total variable:196 7931145
total variable:197 7931488
total variable:198 14650773
total variable:199 7933165
total variable:200 7933357
total variable:201 7933537
total variable:202 7933744
total variable:203 7950461
total variable:204 7934470
total variable:205 7951666
total variable:206 7976328
total variable:207 1128123
total variable:208 7934791
total variable:209 7934956
total variable:210 7952827
total variable:211 7953227
total variable:212 7953543
total variable:213 7953623
total variable:214 7953712
total variable:215 7953924
total variable:216 7955079
total variable:217 7955464
total variable:218 7956362
total variable:219 7956670
total variable:220 7849922
total variable:221 7849448
total variable:222 7850430
